time(ms),VPWR(V),VSS(km/h),timestamp_gmt,t_s
1779393662629,13.54,14.0,2026-05-21 20:01:02.629000+00:00,5.618
1779393662645,13.53,14.0,2026-05-21 20:01:02.645000+00:00,5.634
1779393662663,13.52,14.0,2026-05-21 20:01:02.663000+00:00,5.652
1779393662677,13.52,14.0,2026-05-21 20:01:02.677000+00:00,5.666
1779393662692,13.52,14.0,2026-05-21 20:01:02.692000+00:00,5.681
1779393662710,13.52,14.0,2026-05-21 20:01:02.710000+00:00,5.699
1779393662725,13.52,14.0,2026-05-21 20:01:02.725000+00:00,5.714
1779393662741,13.52,14.0,2026-05-21 20:01:02.741000+00:00,5.73
1779393662757,13.52,14.0,2026-05-21 20:01:02.757000+00:00,5.746
1779393662774,13.53,14.0,2026-05-21 20:01:02.774000+00:00,5.763
1779393662790,13.54,14.0,2026-05-21 20:01:02.790000+00:00,5.779
1779393662806,13.54,14.0,2026-05-21 20:01:02.806000+00:00,5.795
1779393662823,13.54,14.0,2026-05-21 20:01:02.823000+00:00,5.812
