unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779139798600.000000000,2419,163816.600000000,3,0.997283399,-0.013381552,0.000685216,-0.072431400,1,1,1
1779139798610.000000000,2419,163816.610000000,3,0.997262537,-0.013366006,0.000523832,-0.072722010,1,1,1
1779139798630.000000000,2419,163816.630000000,3,0.997217536,-0.013364995,0.000224800,-0.073338062,1,1,1
1779139798640.000000000,2419,163816.640000000,3,0.997195125,-0.013442695,0.000064672,-0.073628776,1,1,1
1779139798660.000000000,2419,163816.660000000,3,0.997147381,-0.013507388,-0.000111708,-0.074260809,1,1,1
1779139798670.000000000,2419,163816.670000000,3,0.997123182,-0.013553547,-0.000275601,-0.074576318,1,1,1
1779139798690.000000000,2419,163816.690000000,3,0.997079670,-0.013528083,-0.000391476,-0.075159691,1,1,1
1779139798700.000000000,2419,163816.700000000,3,0.997060537,-0.013471564,-0.000456698,-0.075422727,1,1,1
1779139798720.000000000,2419,163816.720000000,3,0.997024298,-0.013277240,-0.000632003,-0.075933576,1,1,1
1779139798730.000000000,2419,163816.730000000,3,0.997006476,-0.013123263,-0.000641771,-0.076193832,1,1,1
1779139798740.000000000,2419,163816.740000000,3,0.996987700,-0.013075140,-0.000647715,-0.076446906,1,1,1
1779139798760.000000000,2419,163816.760000000,3,0.996950865,-0.012929599,-0.000655665,-0.076950371,1,1,1
1779139798770.000000000,2419,163816.770000000,3,0.996934056,-0.012824396,-0.000683875,-0.077184841,1,1,1
1779139798790.000000000,2419,163816.790000000,3,0.996901155,-0.012596284,-0.000485553,-0.077647470,1,1,1
1779139798800.000000000,2419,163816.800000000,3,0.996884167,-0.012517026,-0.000504057,-0.077877946,1,1,1
1779139798820.000000000,2419,163816.820000000,3,0.996851861,-0.012263259,-0.000462028,-0.078331366,1,1,1
1779139798830.000000000,2419,163816.830000000,3,0.996830463,-0.012318466,-0.000656385,-0.078593254,1,1,1
1779139798850.000000000,2419,163816.850000000,3,0.996788442,-0.012419182,-0.000475686,-0.079109833,1,1,1
1779139798860.000000000,2419,163816.860000000,3,0.996767700,-0.012563962,-0.000517552,-0.079347312,1,1,1
1779139798870.000000000,2419,163816.870000000,3,0.996748269,-0.012621976,-0.000507300,-0.079582274,1,1,1
1779139798890.000000000,2419,163816.890000000,3,0.996714115,-0.012625099,-0.000536442,-0.080008350,1,1,1
1779139798900.000000000,2419,163816.900000000,3,0.996699452,-0.012643694,-0.000341849,-0.080189019,1,1,1
1779139798920.000000000,2419,163816.920000000,3,0.996670723,-0.012611152,-0.000506898,-0.080549203,1,1,1
1779139798930.000000000,2419,163816.930000000,3,0.996653378,-0.012747762,-0.000796662,-0.080739483,1,1,1
1779139798950.000000000,2419,163816.950000000,3,0.996615410,-0.012969025,-0.001280695,-0.081165619,1,1,1
1779139798960.000000000,2419,163816.960000000,3,0.996600330,-0.013069210,-0.001570976,-0.081329934,1,1,1
1779139798980.000000000,2419,163816.980000000,3,0.996578455,-0.013229521,-0.002720824,-0.081541374,1,1,1
1779139798990.000000000,2419,163816.990000000,3,0.996564984,-0.013432764,-0.003273523,-0.081652045,1,1,1
1779139799010.000000000,2419,163817.010000000,3,0.996532559,-0.013868506,-0.004555396,-0.081913397,1,1,1
1779139799020.000000000,2419,163817.020000000,3,0.996512353,-0.014158223,-0.005404613,-0.082057692,1,1,1
1779139799030.000000000,2419,163817.030000000,3,0.996491909,-0.014404228,-0.006160290,-0.082209714,1,1,1
1779139799050.000000000,2419,163817.050000000,3,0.996451557,-0.014877337,-0.007679560,-0.082486138,1,1,1
1779139799060.000000000,2419,163817.060000000,3,0.996440649,-0.014986912,-0.008350305,-0.082533099,1,1,1
1779139799080.000000000,2419,163817.080000000,3,0.996433020,-0.014803751,-0.009695330,-0.082511388,1,1,1
1779139799090.000000000,2419,163817.090000000,3,0.996431530,-0.014742243,-0.010391105,-0.082455747,1,1,1
1779139799110.000000000,2419,163817.110000000,3,0.996432185,-0.014946626,-0.011428389,-0.082273297,1,1,1
1779139799120.000000000,2419,163817.120000000,3,0.996438920,-0.015009302,-0.011797980,-0.082128182,1,1,1
1779139799140.000000000,2419,163817.140000000,3,0.996461987,-0.014775749,-0.012608451,-0.081769519,1,1,1
1779139799150.000000000,2419,163817.150000000,3,0.996475756,-0.014747595,-0.013000623,-0.081544757,1,1,1
1779139799160.000000000,2419,163817.160000000,3,0.996495545,-0.014638032,-0.013134151,-0.081300661,1,1,1
1779139799180.000000000,2419,163817.180000000,3,0.996534586,-0.014506929,-0.013291430,-0.080818869,1,1,1
1779139799190.000000000,2419,163817.190000000,3,0.996555269,-0.014411998,-0.013245624,-0.080588169,1,1,1
1779139799210.000000000,2419,163817.210000000,3,0.996592343,-0.014442294,-0.013132047,-0.080141768,1,1,1
1779139799220.000000000,2419,163817.220000000,3,0.996610999,-0.014441282,-0.013003897,-0.079930693,1,1,1
1779139799240.000000000,2419,163817.240000000,3,0.996640682,-0.014654749,-0.012690132,-0.079571016,1,1,1
1779139799250.000000000,2419,163817.250000000,3,0.996658921,-0.014771748,-0.012424281,-0.079362422,1,1,1
1779139799270.000000000,2419,163817.270000000,3,0.996700108,-0.014841723,-0.011983579,-0.078899004,1,1,1
1779139799280.000000000,2419,163817.280000000,3,0.996724665,-0.014872846,-0.011690704,-0.078626350,1,1,1
1779139799300.000000000,2419,163817.300000000,3,0.996786416,-0.014715035,-0.010916160,-0.077981509,1,1,1
1779139799310.000000000,2419,163817.310000000,3,0.996821105,-0.014626570,-0.010471762,-0.077614792,1,1,1
1779139799320.000000000,2419,163817.320000000,3,0.996855497,-0.014493763,-0.010077093,-0.077249616,1,1,1
1779139799340.000000000,2419,163817.340000000,3,0.996920466,-0.014458166,-0.009052868,-0.076541469,1,1,1
1779139799350.000000000,2419,163817.350000000,3,0.996950984,-0.014436640,-0.008407094,-0.076221228,1,1,1
1779139799370.000000000,2419,163817.370000000,3,0.997008383,-0.014348955,-0.007394235,-0.075588956,1,1,1
1779139799380.000000000,2419,163817.380000000,3,0.997033954,-0.014419599,-0.006991479,-0.075276114,1,1,1
1779139799400.000000000,2419,163817.400000000,3,0.997089386,-0.014669781,-0.005918172,-0.074582294,1,1,1
1779139799410.000000000,2419,163817.410000000,3,0.997118056,-0.014817271,-0.005498050,-0.074200898,1,1,1
1779139799430.000000000,2419,163817.430000000,3,0.997180820,-0.015069081,-0.004852419,-0.073346876,1,1,1
1779139799440.000000000,2419,163817.440000000,3,0.997218430,-0.015026866,-0.004635162,-0.072856575,1,1,1
1779139799450.000000000,2419,163817.450000000,3,0.997262836,-0.014853111,-0.004287902,-0.072303534,1,1,1
1779139799470.000000000,2419,163817.470000000,3,0.997360647,-0.014353278,-0.004208725,-0.071049243,1,1,1
1779139799480.000000000,2419,163817.480000000,3,0.997411370,-0.014129702,-0.004240023,-0.070376992,1,1,1
1779139799500.000000000,2419,163817.500000000,3,0.997499704,-0.013681348,-0.004405402,-0.069193527,1,1,1
1779139799510.000000000,2419,163817.510000000,3,0.997536957,-0.013450083,-0.004707444,-0.068680272,1,1,1
1779139799530.000000000,2419,163817.530000000,3,0.997599781,-0.013587737,-0.005410881,-0.067681797,1,1,1
1779139799540.000000000,2419,163817.540000000,3,0.997627914,-0.013702493,-0.005808752,-0.067209058,1,1,1
1779139799560.000000000,2419,163817.560000000,3,0.997671843,-0.014223396,-0.006971573,-0.066332482,1,1,1
