unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390501592,414519.592000000,0.020142132,-0.166625813,-0.937452078,0.000167923,-0.001679549,-0.009345939,-0.198053032,-1.358326793,0.601523280,1,-0.012945699,-0.022330942,-0.487223238,1,-0.395311505,0.274697214,9.794828415,1,1
1779390501612,414519.612000000,0.027716596,-0.163754597,-0.939775705,0.000357497,-0.001687491,-0.009429736,-0.122080639,-1.335986376,0.578966916,1,-0.004577807,-0.023915671,-0.489287496,1,-0.393562496,0.269141376,9.795052528,1,1
1779390501622,414519.622000000,0.060644098,-0.173654854,-0.920553386,0.000448602,-0.001686266,-0.009193128,0.200765684,-1.433364391,0.767478645,1,0.023362719,-0.014760194,-0.483867049,1,-0.394048810,0.270063967,9.795007706,1,1
1779390501642,414519.642000000,-0.010211772,-0.166249469,-0.911008775,-0.000131316,-0.001694554,-0.009260655,-0.491754025,-1.362079144,0.861210167,1,0.003109743,-0.008340645,-0.485659361,1,-0.391766131,0.267764449,9.795162201,1,1
1779390501652,414519.652000000,0.044174995,-0.174262732,-0.934553921,0.000345355,-0.001756044,-0.009149391,0.042775914,-1.441887975,0.630391061,1,0.001330721,-0.053042911,-0.486278862,1,-0.389192522,0.266482592,9.795299530,1,1
1779390501662,414519.662000000,0.003101544,-0.158622012,-1.031564713,0.000122225,-0.001582902,-0.010235232,-0.354832351,-1.290833712,-0.320691675,1,-0.000611095,-0.053208351,-0.482890218,1,-0.383996129,0.264105469,9.795569420,1,1
1779390501682,414519.682000000,0.031806558,-0.145864978,-0.947596490,0.000258787,-0.001479198,-0.009464868,-0.072242744,-1.166017890,0.502806425,1,0.029001797,-0.033881184,-0.483622253,1,-0.383509129,0.264741808,9.795571327,1,1
1779390501692,414519.692000000,0.073727310,-0.132969990,-1.007981181,0.000741595,-0.001320211,-0.009948438,0.341952443,-1.035679817,-0.089350358,1,0.076668799,-0.044394027,-0.479964703,1,-0.380090803,0.270118475,9.795557976,1,1
1779390501712,414519.712000000,0.083626024,-0.146887019,-0.853883982,0.000868461,-0.001470427,-0.008641126,0.435168445,-1.161748528,1.421385884,1,0.064507060,0.016269928,-0.476518244,1,-0.385852516,0.280148774,9.795050621,1,1
1779390501722,414519.722000000,0.082649738,-0.136815578,-0.836419106,0.000756289,-0.001387908,-0.008271555,0.424849629,-1.057826877,1.592480659,1,0.077207051,-0.022833619,-0.481342852,1,-0.385390013,0.285691828,9.794908524,1,1
