FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estRoll,Timeseries,100Hz,,,,,,
inertial-6286.188861:estRoll:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estPitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:estPitch:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estYaw,Timeseries,100Hz,,,,,,
inertial-6286.188861:estYaw:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estRoll,inertial-6286.188861:estRoll:valid,inertial-6286.188861:estPitch,inertial-6286.188861:estPitch:valid,inertial-6286.188861:estYaw,inertial-6286.188861:estYaw:valid
1777498968611130880,0.0002304089430253953,1,-0.007923847995698452,1,2.186272382736206,1
1777498968621344000,0.0002267839008709416,1,-0.007924793288111687,1,2.186277627944946,1
1777498968631537152,0.0002338267513550818,1,-0.007928806357085705,1,2.186278104782104,1
1777498968641711360,0.0002330123825231567,1,-0.007929442450404167,1,2.186281442642212,1
1777498968651865600,0.0002380299411015585,1,-0.007929341867566109,1,2.186279296875,1
1777498968662000640,0.0002425592683721334,1,-0.007923809811472893,1,2.186278820037842,1
1777498968672117248,0.0002466121222823858,1,-0.007922960445284843,1,2.186282157897949,1
1777498968682214656,0.0002559474669396877,1,-0.00791825819760561,1,2.186285257339478,1
1777498968692292608,0.0002549550263211131,1,-0.007917983457446098,1,2.186284065246582,1
1777498968702350848,0.0002621471649035811,1,-0.007924411445856094,1,2.186282634735107,1
1777498968712389376,0.0002664720814209431,1,-0.007925271987915039,1,2.186279296875,1
1777498968722408960,0.0002648519002832472,1,-0.007922317832708359,1,2.186280012130737,1
1777498968732409088,0.000266360177192837,1,-0.007925396785140038,1,2.186277627944946,1
1777498968742389504,0.0002591637603472918,1,-0.007927112281322479,1,2.186293840408325,1
1777498968752350976,0.0002588631759863347,1,-0.007929791696369648,1,2.186294555664062,1
1777498968762293248,0.0002597796556074172,1,-0.007934253662824631,1,2.186293363571167,1
1777498968772215808,0.0002585008041933179,1,-0.007927619852125645,1,2.186291933059692,1
1777498968782119168,0.0002497789391782135,1,-0.007923629134893417,1,2.186293363571167,1
1777498968792003584,0.0002528491313569248,1,-0.007924097590148449,1,2.186293601989746,1
1777498968801869056,0.0002535292296670377,1,-0.007929284125566483,1,2.186297178268433,1
1777498968811715328,0.0002623643376864493,1,-0.007932227104902267,1,2.186296701431274,1
1777498968821542656,0.0002631025272421539,1,-0.007936980575323105,1,2.186296463012695,1
1777498968831351808,0.0002609449438750744,1,-0.007934567518532276,1,2.186295032501221,1
1777498968841142784,0.0002594738034531474,1,-0.007929561659693718,1,2.186296463012695,1
1777498968851148032,0.0002605787303764373,1,-0.007929056882858276,1,2.18629789352417,1
1777498968861367296,0.000267437135335058,1,-0.007932906039059162,1,2.18630051612854,1
1777498968871566848,0.0002678536111488938,1,-0.007936933077871799,1,2.18630051612854,1
1777498968881747200,0.000264255708316341,1,-0.007943250238895416,1,2.186302185058594,1
1777498968891908096,0.0002674850111361593,1,-0.007944464683532715,1,2.18630051612854,1
1777498968902049280,0.0002660161990206689,1,-0.00794542208313942,1,2.186303377151489,1
1777498968912171008,0.0002657189033925533,1,-0.007947895675897598,1,2.186296463012695,1
1777498968922273280,0.0002691278932616115,1,-0.00794941745698452,1,2.186296939849854,1
1777498968932355840,0.0002739274350460619,1,-0.007947996258735657,1,2.186295032501221,1
1777498968942418944,0.0002607855712994933,1,-0.007947013713419437,1,2.186305046081543,1
1777498968952462336,0.0002636678691487759,1,-0.007943861186504364,1,2.18630051612854,1
1777498968962486272,0.0002557961852289736,1,-0.00794362835586071,1,2.186296463012695,1
1777498968972491264,0.0002573246893007308,1,-0.007942866533994675,1,2.186293363571167,1
