time,"Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Instant engine power (based on fuel consumption) (hp)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
12:17:05.156,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:05.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.505467549999999,3.2297059999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:05.593,,,,,,,10.134750967805818,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:05.768,,12.669805305719994,14.134920794524882,14.134920794524882,14.134920794524882,12.668423355093783,,,,0.07819441679027203,,,,,,,,,0.8336985945783,1.117572,1.117572,1.117572,0.842035580524083,1.12874772,1.12874772,1.12874772,0.30591203331427635,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:05.945,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:06.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.518469699999999,3.2345859999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:06.394,,,,,,,10.131281163164479,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:06.493,,12.670044532999825,14.135123160665689,14.135123160665689,14.135123160665689,12.668570734903424,,,,0.07812438905613213,,,,,,,,,0.8337143362130106,1.117588,1.117588,1.117588,0.8420514795751407,1.1287638800000002,1.1287638800000002,1.1287638800000002,0.30563807095969303,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:06.685,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:17:06.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.518469699999999,3.2345859999999997,,,,,,-12.100001786748267,-77.02429915834304,
12:17:07.523,,,,,,,10.126388437468037,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:17:07.707,,12.670444787752317,14.135452005644499,14.135452005644499,14.135452005644499,12.668902012176897,,,,0.07812438905613213,,,,,,,,,0.8337406737783144,1.117614,1.117614,1.117614,0.8420780805160976,1.12879014,1.12879014,1.12879014,0.30563807095969303,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:17:07.812,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
