time,Vehicle speed (km/h)
12:01:08.975,0.0
12:01:10.177,0.0
12:01:11.691,0.0
12:01:12.466,0.0
12:01:13.731,0.0
12:01:14.571,0.0
12:01:15.313,0.0
12:01:16.085,0.0
12:01:17.703,0.0
12:01:18.529,0.0
12:01:19.311,0.0
12:01:20.062,0.0
12:01:21.357,0.0
12:01:22.065,0.0
12:01:22.856,0.0
12:01:23.699,0.0
12:01:24.560,0.0
12:01:25.265,0.0
12:01:26.457,0.0
12:01:27.166,0.0
12:01:28.364,0.0
12:01:29.445,0.0
12:01:30.576,0.0
12:01:31.738,0.0
12:01:32.949,0.0
12:01:34.142,0.0
12:01:35.671,0.0
12:01:36.461,0.0
12:01:37.461,0.0
12:01:38.697,0.0
12:01:39.530,0.0
12:01:40.277,0.0
12:01:41.091,15.0
12:01:41.863,0.0
12:01:42.579,0.0
12:01:43.276,0.0
12:01:44.050,0.0
12:01:45.185,0.0
12:01:46.281,0.0
12:01:47.186,0.0
12:01:48.361,6.0
12:01:49.179,6.0
12:01:50.630,10.0
12:01:51.428,12.0
12:01:52.102,12.0
12:01:53.963,10.0
12:01:54.702,9.0
12:01:55.435,11.0
12:01:56.709,15.0
12:01:57.436,17.0
12:01:58.150,19.0
12:01:58.908,24.0
12:01:59.716,26.0
12:02:00.564,28.0
12:02:01.222,33.0
12:02:02.313,37.0
12:02:03.131,41.0
12:02:03.970,40.0
12:02:04.630,42.0
12:02:05.440,44.0
12:02:06.130,15.0
12:02:06.923,45.0
12:02:07.701,46.0
12:02:08.615,46.0
12:02:09.318,48.0
12:02:10.031,47.0
12:02:10.821,46.0
12:02:13.184,41.0
12:02:13.936,38.0
12:02:14.694,35.0
12:02:15.490,33.0
12:02:16.594,26.0
12:02:19.367,17.0
12:02:20.533,12.0
12:02:21.437,12.0
12:02:22.610,11.0
12:02:24.149,13.0
12:02:24.997,13.0
12:02:25.851,13.0
12:02:26.951,16.0
12:02:27.666,18.0
12:02:28.416,18.0
12:02:29.337,18.0
12:02:30.167,20.0
12:02:30.921,18.0
12:02:31.689,20.0
12:02:32.905,21.0
12:02:33.924,21.0
12:02:35.428,19.0
12:02:36.209,17.0
12:02:37.372,13.0
12:02:38.149,12.0
12:02:39.022,13.0
12:02:39.835,15.0
12:02:40.699,17.0
12:02:41.445,20.0
12:02:42.131,23.0
12:02:42.930,26.0
12:02:43.698,31.0
12:02:44.470,32.0
12:02:45.668,31.0
12:02:46.770,35.0
12:02:47.506,37.0
12:02:48.667,37.0
12:02:49.399,36.0
12:02:50.101,36.0
12:02:50.768,36.0
12:02:51.972,35.0
12:02:53.092,34.0
12:02:54.195,33.0
12:02:55.426,31.0
12:02:56.137,30.0
12:02:57.001,27.0
12:02:57.769,24.0
12:02:58.501,22.0
12:02:59.267,21.0
12:03:00.071,21.0
12:03:00.734,20.0
12:03:01.511,20.0
12:03:02.260,17.0
12:03:04.164,13.0
12:03:04.942,12.0
12:03:05.628,8.0
12:03:06.664,6.0
12:03:07.806,10.0
12:03:08.597,14.0
12:03:09.437,13.0
12:03:10.755,15.0
12:03:11.706,15.0
12:03:12.611,15.0
12:03:13.727,12.0
12:03:14.458,14.0
12:03:15.201,14.0
12:03:16.772,20.0
12:03:17.513,20.0
12:03:18.687,20.0
12:03:19.460,24.0
12:03:20.134,26.0
12:03:20.879,24.0
12:03:22.403,24.0
12:03:23.266,24.0
12:03:24.022,23.0
12:03:25.155,20.0
12:03:26.374,20.0
12:03:27.413,17.0
12:03:28.536,16.0
12:03:29.316,16.0
12:03:30.046,15.0
12:03:31.600,13.0
12:03:32.400,11.0
12:03:33.186,9.0
12:03:33.862,4.0
12:03:34.575,3.0
12:03:35.781,3.0
12:03:36.977,0.0
12:03:37.805,0.0
12:03:38.954,0.0
12:03:39.773,0.0
12:03:40.560,0.0
12:03:41.327,0.0
12:03:42.018,0.0
12:03:42.717,0.0
12:03:43.463,0.0
12:03:44.702,0.0
12:03:45.443,15.0
12:03:46.177,0.0
12:03:46.873,0.0
12:03:47.692,0.0
12:03:48.740,5.0
12:03:50.199,13.0
12:03:51.331,21.0
12:03:52.157,21.0
12:03:53.226,25.0
12:03:54.060,25.0
12:03:55.124,24.0
12:03:55.898,23.0
12:03:57.033,25.0
12:03:57.832,30.0
12:03:58.702,30.0
12:03:59.478,1.0
12:04:01.864,20.0
12:04:02.600,17.0
