unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779140922884.000000000,2419,164940.884000000,3,0.993426383,0.018583747,-0.016824350,0.111694537,2,2
1779140922894.000000000,2419,164940.894000000,3,0.992415965,0.018995717,-0.017086428,0.120240718,2,2
1779140922914.000000000,2419,164940.914000000,3,0.992677271,0.019425549,-0.018083744,0.117845111,2,2
1779140922924.000000000,2419,164940.924000000,3,0.993034065,0.019501910,-0.018768355,0.114676826,2,2
1779140922944.000000000,2419,164940.944000000,3,0.992507160,0.019589825,-0.019966634,0.118941851,2,2
1779140922954.000000000,2419,164940.954000000,3,0.993506432,0.019434961,-0.020874506,0.110143431,2,2
1779140922974.000000000,2419,164940.974000000,3,0.992989779,0.019730272,-0.022110676,0.114425384,2,2
1779140922984.000000000,2419,164940.984000000,3,0.993231475,0.019926241,-0.022869451,0.112121485,2,2
1779140923004.000000000,2419,164941.004000000,3,0.993619442,0.020270428,-0.024048984,0.108310923,2,2
1779140923014.000000000,2419,164941.014000000,3,0.992788970,0.020576838,-0.024224173,0.115584865,2,2
1779140923034.000000000,2419,164941.034000000,3,0.992981613,0.020330142,-0.024989579,0.113797411,2,2
1779140923044.000000000,2419,164941.044000000,3,0.992609978,0.020057390,-0.025291672,0.116976641,2,2
1779140923054.000000000,2419,164941.054000000,3,0.993515015,0.019798186,-0.025981847,0.108907796,2,2
1779140923074.000000000,2419,164941.074000000,3,0.993569016,0.019187562,-0.025388483,0.108663887,2,2
1779140923084.000000000,2419,164941.084000000,3,0.993226647,0.019205667,-0.025126517,0.111806646,2,2
1779140923104.000000000,2419,164941.104000000,3,0.993857682,0.019539669,-0.024910634,0.106040582,2,2
1779140923114.000000000,2419,164941.114000000,3,0.992714465,0.019988786,-0.023732778,0.116427004,2,2
1779140923134.000000000,2419,164941.134000000,3,0.993050456,0.020613087,-0.023378812,0.113487713,2,2
1779140923144.000000000,2419,164941.144000000,3,0.993283808,0.020887168,-0.022467719,0.111562803,2,2
1779140923164.000000000,2419,164941.164000000,3,0.992490649,0.021494547,-0.021819023,0.118424170,2,2
1779140923174.000000000,2419,164941.174000000,3,0.994016171,0.021197675,-0.021488516,0.104979940,2,2
1779140923184.000000000,2419,164941.184000000,3,0.993191600,0.021381464,-0.021342373,0.112507239,2,2
1779140923194.000000000,2419,164941.194000000,3,0.993384719,0.021333767,-0.020845056,0.110892586,2,2
1779140923204.000000000,2419,164941.204000000,3,0.993460953,0.021349739,-0.020652447,0.110241115,2,2
1779140923214.000000000,2419,164941.214000000,3,0.992829263,0.021706661,-0.020547181,0.115744673,2,2
1779140923234.000000000,2419,164941.234000000,3,0.992866516,0.021922106,-0.020070925,0.115467258,2,2
1779140923244.000000000,2419,164941.244000000,3,0.993190944,0.021749178,-0.020049868,0.112680130,2,2
1779140923264.000000000,2419,164941.264000000,3,0.992281616,0.021359032,-0.019863823,0.120525874,2,2
1779140923274.000000000,2419,164941.274000000,3,0.993987024,0.020867668,-0.020067563,0.105601668,2,2
1779140923294.000000000,2419,164941.294000000,3,0.992812216,0.020926503,-0.019966338,0.116135158,2,2
1779140923304.000000000,2419,164941.304000000,3,0.993077278,0.020980971,-0.020025562,0.113825887,2,2
1779140923324.000000000,2419,164941.324000000,3,0.993440211,0.020916007,-0.020259466,0.110583439,2,2
1779140923334.000000000,2419,164941.334000000,3,0.992266715,0.020845892,-0.019841183,0.120741792,2,2
1779140923344.000000000,2419,164941.344000000,3,0.993095517,0.020296413,-0.020242801,0.113752201,2,2
1779140923364.000000000,2419,164941.364000000,3,0.991985381,0.019658724,-0.020146953,0.123177715,2,2
1779140923374.000000000,2419,164941.374000000,3,0.993382692,0.019121759,-0.020578288,0.111363091,2,2
1779140923394.000000000,2419,164941.394000000,3,0.992544949,0.019051721,-0.020531436,0.118617795,2,2
1779140923404.000000000,2419,164941.404000000,3,0.992488027,0.019178621,-0.020620560,0.119057082,2,2
1779140923424.000000000,2419,164941.424000000,3,0.992923141,0.019487033,-0.020854056,0.115278177,2,2
1779140923434.000000000,2419,164941.434000000,3,0.991749406,0.019914012,-0.020900689,0.124899268,2,2
1779140923454.000000000,2419,164941.454000000,3,0.992506981,0.019994311,-0.021155493,0.118670225,2,2
1779140923464.000000000,2419,164941.464000000,3,0.991572261,0.020109212,-0.021044908,0.126242578,2,2
1779140923484.000000000,2419,164941.484000000,3,0.991424561,0.020040441,-0.021387964,0.127351165,2,2
1779140923494.000000000,2419,164941.494000000,3,0.991644084,0.020003840,-0.021363867,0.125640437,2,2
1779140923504.000000000,2419,164941.504000000,3,0.991799891,0.019909883,-0.021255316,0.124438033,2,2
1779140923524.000000000,2419,164941.524000000,3,0.991903722,0.019927166,-0.021394344,0.123581350,2,2
1779140923534.000000000,2419,164941.534000000,3,0.991093516,0.020544799,-0.021573614,0.129793078,2,2
1779140923544.000000000,2419,164941.544000000,3,0.991514981,0.020816799,-0.022050126,0.126406312,2,2
1779140923554.000000000,2419,164941.554000000,3,0.990978599,0.020876855,-0.021565130,0.130616292,2,2
1779140923564.000000000,2419,164941.564000000,3,0.990991712,0.021010531,-0.019619275,0.130802035,2,2
1779140923584.000000000,2419,164941.584000000,3,0.990609348,0.020492481,-0.019488260,0.133766413,2,2
1779140923594.000000000,2419,164941.594000000,3,0.990713775,0.020425692,-0.019360034,0.133019701,2,2
1779140923614.000000000,2419,164941.614000000,3,0.990746975,0.020457685,-0.017613064,0.133010238,2,2
1779140923624.000000000,2419,164941.624000000,3,0.991460025,0.020148993,-0.017362012,0.127670124,2,2
1779140923634.000000000,2419,164941.634000000,3,0.990361631,0.020441025,-0.016899504,0.135942951,2,2
1779140923654.000000000,2419,164941.654000000,3,0.990229726,0.019654568,-0.015335937,0.137199342,2,2
1779140923664.000000000,2419,164941.664000000,3,0.990382791,0.019196220,-0.014628944,0.136233315,2,2
1779140923684.000000000,2419,164941.684000000,3,0.989780605,0.018801775,-0.015249895,0.140528962,2,2
1779140923694.000000000,2419,164941.694000000,3,0.990601361,0.018702725,-0.014274504,0.134741738,2,2
1779140923714.000000000,2419,164941.714000000,3,0.990041912,0.019377910,-0.014207299,0.138707474,2,2
1779140923724.000000000,2419,164941.724000000,3,0.990250468,0.019248426,-0.013607255,0.137289241,2,2
1779140923744.000000000,2419,164941.744000000,3,0.990014911,0.019061798,-0.013981134,0.138966858,2,2
1779140923754.000000000,2419,164941.754000000,3,0.989884496,0.018647473,-0.013216939,0.140022665,2,2
1779140923774.000000000,2419,164941.774000000,3,0.990260065,0.018135168,-0.014254587,0.137305737,2,2
1779140923784.000000000,2419,164941.784000000,3,0.989617705,0.018055929,-0.014462499,0.141850933,2,2
1779140923794.000000000,2419,164941.794000000,3,0.989965141,0.018262116,-0.015146165,0.139306262,2,2
1779140923814.000000000,2419,164941.814000000,3,0.989799798,0.018049514,-0.015324602,0.140484110,2,2
1779140923824.000000000,2419,164941.824000000,3,0.989947915,0.018066283,-0.016006896,0.139357433,2,2
1779140923844.000000000,2419,164941.844000000,3,0.989720166,0.018227516,-0.017102493,0.140816614,2,2
1779140923854.000000000,2419,164941.854000000,3,0.989392400,0.018179076,-0.017412469,0.143069804,2,2
