unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779140552270.000000000,2419,164570.270000000,3,0.999863863,0.014031215,-0.002866915,-0.008192882,1,1,1
1779140552280.000000000,2419,164570.280000000,3,0.999860883,0.014123898,-0.003216839,-0.008268055,1,1,1
1779140552300.000000000,2419,164570.300000000,3,0.999856949,0.014114318,-0.003927301,-0.008454419,1,1,1
1779140552310.000000000,2419,164570.310000000,3,0.999856293,0.013987686,-0.004059806,-0.008674493,1,1,1
1779140552330.000000000,2419,164570.330000000,3,0.999852061,0.013630525,-0.004663010,-0.009396323,1,1,1
1779140552340.000000000,2419,164570.340000000,3,0.999852359,0.013372790,-0.004547128,-0.009786885,1,1,1
1779140552360.000000000,2419,164570.360000000,3,0.999848783,0.012951365,-0.004917412,-0.010510162,1,1,1
1779140552370.000000000,2419,164570.370000000,3,0.999848545,0.012726753,-0.004851940,-0.010836345,1,1,1
1779140552390.000000000,2419,164570.390000000,3,0.999842763,0.012616864,-0.004876509,-0.011467626,1,1,1
1779140552400.000000000,2419,164570.400000000,3,0.999838412,0.012727374,-0.004694286,-0.011795392,1,1,1
1779140552410.000000000,2419,164570.410000000,3,0.999833643,0.012768685,-0.004808564,-0.012104101,1,1,1
1779140552430.000000000,2419,164570.430000000,3,0.999827921,0.012792518,-0.004345585,-0.012711431,1,1,1
1779140552440.000000000,2419,164570.440000000,3,0.999824047,0.012833217,-0.004302625,-0.012988450,1,1,1
1779140552460.000000000,2419,164570.460000000,3,0.999819636,0.012835531,-0.003710195,-0.013499040,1,1,1
1779140552470.000000000,2419,164570.470000000,3,0.999816656,0.012853025,-0.003527999,-0.013746608,1,1,1
1779140552490.000000000,2419,164570.490000000,3,0.999812961,0.012742917,-0.002826278,-0.014272482,1,1,1
1779140552500.000000000,2419,164570.500000000,3,0.999810457,0.012681135,-0.002519936,-0.014555832,1,1,1
1779140552520.000000000,2419,164570.520000000,3,0.999804676,0.012642071,-0.001922439,-0.015070408,1,1,1
1779140552530.000000000,2419,164570.530000000,3,0.999802589,0.012634304,-0.001433659,-0.015267393,1,1,1
1779140552550.000000000,2419,164570.550000000,3,0.999796510,0.012825579,-0.000729148,-0.015554929,1,1,1
1779140552560.000000000,2419,164570.560000000,3,0.999793291,0.012958862,-0.000288039,-0.015663793,1,1,1
1779140552570.000000000,2419,164570.570000000,3,0.999788940,0.013135691,0.000023947,-0.015797583,1,1,1
1779140552590.000000000,2419,164570.590000000,3,0.999779820,0.013446865,0.000632496,-0.016097300,1,1,1
1779140552600.000000000,2419,164570.600000000,3,0.999775410,0.013568818,0.000965271,-0.016250711,1,1,1
1779140552610.000000000,2419,164570.610000000,3,0.999773979,0.013472001,0.001102944,-0.016410533,1,1,1
1779140552620.000000000,2419,164570.620000000,3,0.999769092,0.013606050,0.001318476,-0.016581351,1,1,1
1779140552630.000000000,2419,164570.630000000,3,0.999770224,0.013329872,0.001421859,-0.016727332,1,1,1
1779140552650.000000000,2419,164570.650000000,3,0.999770582,0.013120933,0.001368372,-0.016876366,1,1,1
1779140552660.000000000,2419,164570.660000000,3,0.999768555,0.013188863,0.001415457,-0.016938550,1,1,1
1779140552680.000000000,2419,164570.680000000,3,0.999771178,0.012839613,0.001275108,-0.017060416,1,1,1
1779140552690.000000000,2419,164570.690000000,3,0.999774158,0.012638530,0.000708843,-0.017070381,1,1,1
1779140552700.000000000,2419,164570.700000000,3,0.999774456,0.012662100,0.000725121,-0.017035555,1,1,1
1779140552720.000000000,2419,164570.720000000,3,0.999774218,0.012859123,0.000426849,-0.016909843,1,1,1
1779140552730.000000000,2419,164570.730000000,3,0.999775589,0.012840082,0.000393340,-0.016843924,1,1,1
1779140552750.000000000,2419,164570.750000000,3,0.999775827,0.013025570,0.000293969,-0.016689884,1,1,1
1779140552760.000000000,2419,164570.760000000,3,0.999776363,0.013042981,0.000579336,-0.016634693,1,1,1
1779140552780.000000000,2419,164570.780000000,3,0.999778390,0.013122130,0.000579872,-0.016450247,1,1,1
1779140552790.000000000,2419,164570.790000000,3,0.999779940,0.013177493,0.000923484,-0.016295282,1,1,1
1779140552810.000000000,2419,164570.810000000,3,0.999783754,0.013439038,0.000838175,-0.015846372,1,1,1
1779140552820.000000000,2419,164570.820000000,3,0.999784172,0.013670287,0.000924816,-0.015617539,1,1,1
1779140552840.000000000,2419,164570.840000000,3,0.999789178,0.013892058,0.000881800,-0.015092704,1,1,1
1779140552850.000000000,2419,164570.850000000,3,0.999794722,0.013790719,0.000720833,-0.014826164,1,1,1
1779140552860.000000000,2419,164570.860000000,3,0.999796331,0.013977409,0.000775485,-0.014535700,1,1,1
1779140552880.000000000,2419,164570.880000000,3,0.999807417,0.013829427,0.000853971,-0.013897014,1,1,1
1779140552890.000000000,2419,164570.890000000,3,0.999814093,0.013686043,0.000639741,-0.013565361,1,1,1
1779140552910.000000000,2419,164570.910000000,3,0.999824643,0.013635469,0.000756298,-0.012815567,1,1,1
1779140552920.000000000,2419,164570.920000000,3,0.999830961,0.013554838,0.001140735,-0.012370565,1,1,1
1779140552940.000000000,2419,164570.940000000,3,0.999841213,0.013514761,0.000875064,-0.011579219,1,1,1
1779140552950.000000000,2419,164570.950000000,3,0.999843895,0.013667138,0.001269793,-0.011125237,1,1,1
1779140552970.000000000,2419,164570.970000000,3,0.999854863,0.013736346,0.001328082,-0.009988570,1,1,1
1779140552980.000000000,2419,164570.980000000,3,0.999857426,0.014029137,0.000976727,-0.009346671,1,1,1
