unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779391148382,415166.382000000,3,0.907984018,0.008160717,0.023771919,-0.418250382,0
1779391148392,415166.392000000,3,0.907215655,0.008200404,0.023731887,-0.419915915,0
1779391148402,415166.402000000,3,0.904946685,0.008341230,0.023707520,-0.424782306,0
1779391148412,415166.412000000,3,0.906497657,0.008265797,0.023771940,-0.421460211,0
1779391148422,415166.422000000,3,0.907561064,0.008196585,0.023792548,-0.419165552,0
1779391148432,415166.432000000,3,0.904739976,0.008342942,0.023703953,-0.425222367,0
1779391148452,415166.452000000,3,0.904747128,0.008375164,0.023702290,-0.425206721,0
1779391148462,415166.462000000,3,0.904701531,0.008393868,0.023732416,-0.425301701,0
1779391148482,415166.482000000,3,0.907209694,0.008202285,0.023758722,-0.419927239,0
1779391148492,415166.492000000,3,0.904123962,0.008368613,0.023686057,-0.426531076,0
1779391148512,415166.512000000,3,0.907798886,0.008222261,0.023821114,-0.418648005,0
1779391148522,415166.522000000,3,0.906568646,0.008286754,0.023790365,-0.421305895,0
1779391148542,415166.542000000,3,0.906701505,0.008257574,0.023728220,-0.421023935,0
1779391148552,415166.552000000,3,0.906304181,0.008293111,0.023747396,-0.421876848,0
1779391148562,415166.562000000,3,0.906268656,0.008296409,0.023781665,-0.421951115,0
1779391148582,415166.582000000,3,0.906186640,0.008266211,0.023742745,-0.422130048,0
1779391148612,415166.612000000,3,0.907048643,0.008268252,0.023784189,-0.420272142,0
1779391148622,415166.622000000,3,0.908263803,0.008177670,0.023804178,-0.417640358,0
1779391148642,415166.642000000,3,0.906872869,0.008202215,0.023741934,-0.420655131,0
1779391148652,415166.652000000,3,0.906614959,0.008230198,0.023756584,-0.421209335,0
1779391148672,415166.672000000,3,0.905804873,0.008311489,0.023755679,-0.422946900,0
1779391148682,415166.682000000,3,0.906855762,0.008244554,0.023731422,-0.420691669,0
1779391148702,415166.702000000,3,0.904405653,0.008397174,0.023676112,-0.425933659,0
1779391148712,415166.712000000,3,0.905344784,0.008354855,0.023721382,-0.423932135,0
1779391148722,415166.722000000,3,0.906390071,0.008280418,0.023734445,-0.421693236,0
1779391148742,415166.742000000,3,0.906599581,0.008256519,0.023681002,-0.421246231,0
1779391148752,415166.752000000,3,0.904506266,0.008400328,0.023666428,-0.425720334,0
1779391148762,415166.762000000,3,0.905589461,0.008364906,0.023725796,-0.423408657,0
1779391148772,415166.772000000,3,0.904399931,0.008427027,0.023704614,-0.425943613,0
1779391148782,415166.782000000,3,0.904911578,0.008384884,0.023685817,-0.424857467,0
1779391148802,415166.802000000,3,0.905113101,0.008382363,0.023695612,-0.424427390,0
1779391148812,415166.812000000,3,0.907189548,0.008270607,0.023777427,-0.419968486,0
1779391148832,415166.832000000,3,0.906946182,0.008247476,0.023755662,-0.420495331,0
1779391148842,415166.842000000,3,0.905015826,0.008358706,0.023702614,-0.424634755,0
1779391148852,415166.852000000,3,0.905119300,0.008387293,0.023714840,-0.424412966,0
1779391148872,415166.872000000,3,0.905885875,0.008362495,0.023746317,-0.422773033,0
1779391148882,415166.882000000,3,0.906503201,0.008303588,0.023725081,-0.421450049,0
1779391148902,415166.902000000,3,0.905237973,0.008368876,0.023708168,-0.424160570,0
1779391148912,415166.912000000,3,0.907344341,0.008263355,0.023782890,-0.419633478,0
1779391148932,415166.932000000,3,0.907214701,0.008249161,0.023738120,-0.419916719,0
1779391148942,415166.942000000,3,0.904716134,0.008394228,0.023667829,-0.425274134,0
1779391148962,415166.962000000,3,0.907435060,0.008263697,0.023792177,-0.419436842,0
1779391148972,415166.972000000,3,0.907051384,0.008271026,0.023776302,-0.420266658,0
